25-05-16 18:36:19.274 - INFO: [Phase 1] Training noise model!
25-05-16 18:36:19.666 - INFO: Note: NumExpr detected 56 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
25-05-16 18:36:19.666 - INFO: NumExpr defaulting to 8 threads.
25-05-16 18:36:31.587 - INFO: MRI dataset [hardi] is created.
25-05-16 18:36:42.770 - INFO: MRI dataset [hardi] is created.
25-05-16 18:36:42.771 - INFO: Initial Dataset Finished
25-05-16 18:36:43.188 - INFO: Noise Model is created.
25-05-16 18:36:43.189 - INFO: Initial Model Finished
25-05-16 18:37:18.153 - INFO: <epoch: 34, iter:     100> l_pix: 1.5628e-03 
25-05-16 18:37:53.360 - INFO: <epoch: 67, iter:     200> l_pix: 1.4532e-03 
25-05-16 18:38:22.878 - INFO: <epoch:100, iter:     300> l_pix: 1.1351e-03 
25-05-16 18:38:55.112 - INFO: <epoch:134, iter:     400> l_pix: 1.1461e-03 
25-05-16 18:39:29.069 - INFO: <epoch:167, iter:     500> l_pix: 9.6899e-04 
25-05-16 18:39:57.377 - INFO: <epoch:200, iter:     600> l_pix: 1.2657e-03 
25-05-16 18:40:30.594 - INFO: <epoch:234, iter:     700> l_pix: 1.3531e-03 
25-05-16 18:41:01.684 - INFO: <epoch:267, iter:     800> l_pix: 1.1169e-03 
25-05-16 18:41:26.423 - INFO: <epoch:300, iter:     900> l_pix: 1.2972e-03 
25-05-16 18:42:01.000 - INFO: <epoch:334, iter:   1,000> l_pix: 1.2727e-03 
25-05-16 18:42:01.001 - INFO: Saving models and training states.
25-05-16 18:42:01.054 - INFO: Saved model in [experiments/hardi_stage2_250516_183619/checkpoint/le_gen.pth] ...
25-05-16 18:42:34.649 - INFO: <epoch:367, iter:   1,100> l_pix: 1.1563e-03 
25-05-16 18:43:05.178 - INFO: <epoch:400, iter:   1,200> l_pix: 1.2419e-03 
25-05-16 18:43:40.237 - INFO: <epoch:434, iter:   1,300> l_pix: 1.1424e-03 
25-05-16 18:44:11.166 - INFO: <epoch:467, iter:   1,400> l_pix: 1.3186e-03 
25-05-16 18:44:43.611 - INFO: <epoch:500, iter:   1,500> l_pix: 1.1486e-03 
25-05-16 18:45:20.130 - INFO: <epoch:534, iter:   1,600> l_pix: 1.3099e-03 
25-05-16 18:45:50.821 - INFO: <epoch:567, iter:   1,700> l_pix: 1.0683e-03 
25-05-16 18:46:26.201 - INFO: <epoch:600, iter:   1,800> l_pix: 1.5524e-03 
25-05-16 18:47:00.542 - INFO: <epoch:634, iter:   1,900> l_pix: 1.2048e-03 
25-05-16 18:47:33.131 - INFO: <epoch:667, iter:   2,000> l_pix: 1.1863e-03 
25-05-16 18:47:33.132 - INFO: Saving models and training states.
25-05-16 18:47:33.223 - INFO: Saved model in [experiments/hardi_stage2_250516_183619/checkpoint/le_gen.pth] ...
25-05-16 18:48:08.558 - INFO: <epoch:700, iter:   2,100> l_pix: 1.0139e-03 
25-05-16 18:48:38.958 - INFO: <epoch:734, iter:   2,200> l_pix: 1.2988e-03 
25-05-16 18:49:15.542 - INFO: <epoch:767, iter:   2,300> l_pix: 1.2381e-03 
25-05-16 18:49:48.585 - INFO: <epoch:800, iter:   2,400> l_pix: 1.4602e-03 
25-05-16 18:50:26.752 - INFO: <epoch:834, iter:   2,500> l_pix: 1.2946e-03 
25-05-16 18:51:00.337 - INFO: <epoch:867, iter:   2,600> l_pix: 1.3545e-03 
25-05-16 18:51:33.497 - INFO: <epoch:900, iter:   2,700> l_pix: 1.4806e-03 
25-05-16 18:52:11.150 - INFO: <epoch:934, iter:   2,800> l_pix: 1.2642e-03 
25-05-16 18:52:44.820 - INFO: <epoch:967, iter:   2,900> l_pix: 1.4137e-03 
25-05-16 18:53:24.397 - INFO: <epoch:1000, iter:   3,000> l_pix: 1.0539e-03 
25-05-16 18:53:24.400 - INFO: Saving models and training states.
25-05-16 18:53:24.462 - INFO: Saved model in [experiments/hardi_stage2_250516_183619/checkpoint/le_gen.pth] ...
25-05-16 18:53:59.682 - INFO: <epoch:1034, iter:   3,100> l_pix: 1.3580e-03 
25-05-16 18:54:40.381 - INFO: <epoch:1067, iter:   3,200> l_pix: 1.1975e-03 
25-05-16 18:55:14.070 - INFO: <epoch:1100, iter:   3,300> l_pix: 1.3164e-03 
25-05-16 18:55:51.595 - INFO: <epoch:1134, iter:   3,400> l_pix: 1.4280e-03 
25-05-16 18:56:26.339 - INFO: <epoch:1167, iter:   3,500> l_pix: 1.4815e-03 
25-05-16 18:57:02.400 - INFO: <epoch:1200, iter:   3,600> l_pix: 1.0663e-03 
25-05-16 18:57:32.404 - INFO: <epoch:1234, iter:   3,700> l_pix: 1.5184e-03 
25-05-16 18:58:06.737 - INFO: <epoch:1267, iter:   3,800> l_pix: 1.4496e-03 
25-05-16 18:58:37.313 - INFO: <epoch:1300, iter:   3,900> l_pix: 1.4144e-03 
25-05-16 18:59:11.289 - INFO: <epoch:1334, iter:   4,000> l_pix: 1.4698e-03 
25-05-16 18:59:11.289 - INFO: Saving models and training states.
25-05-16 18:59:11.399 - INFO: Saved model in [experiments/hardi_stage2_250516_183619/checkpoint/le_gen.pth] ...
25-05-16 18:59:42.894 - INFO: <epoch:1367, iter:   4,100> l_pix: 1.4012e-03 
25-05-16 19:00:13.245 - INFO: <epoch:1400, iter:   4,200> l_pix: 1.6675e-03 
25-05-16 19:00:47.647 - INFO: <epoch:1434, iter:   4,300> l_pix: 1.4941e-03 
25-05-16 19:01:18.162 - INFO: <epoch:1467, iter:   4,400> l_pix: 1.4283e-03 
25-05-16 19:01:51.830 - INFO: <epoch:1500, iter:   4,500> l_pix: 1.4162e-03 
25-05-16 19:02:21.816 - INFO: <epoch:1534, iter:   4,600> l_pix: 1.3302e-03 
25-05-16 19:02:53.852 - INFO: <epoch:1567, iter:   4,700> l_pix: 1.3067e-03 
25-05-16 19:03:26.128 - INFO: <epoch:1600, iter:   4,800> l_pix: 1.0553e-03 
25-05-16 19:03:56.242 - INFO: <epoch:1634, iter:   4,900> l_pix: 1.4901e-03 
25-05-16 19:04:31.113 - INFO: <epoch:1667, iter:   5,000> l_pix: 1.5052e-03 
25-05-16 19:04:31.114 - INFO: Saving models and training states.
